Model,R-squared,MAE,RMSE
Tuned Ridge (Full Poly),0.6637241384227643,892181.7571542461,1203384.9820819518
Tuned Ridge (Refined),0.6672549498702016,893370.7986871836,1197050.6922064512
Tuned Random Forest (Full Poly),0.6383314971547941,916640.7155441373,1247992.813403173
Tuned Random Forest (Refined),0.6183971755365741,932740.5551311562,1281924.7441794856
Tuned XGBoost (Full Poly),0.6513270139694214,924189.375,1225366.1353897455
Tuned XGBoost (Refined),0.6388520002365112,934420.875,1247094.534296418
Stacked Ensemble,0.6670205293959124,891455.2361491226,1197472.2819265309
